"","cluster","cluster_col"
"LOC101848974","C4","#FB8072"
"LOC118478471","C4","#FB8072"
"LOC101863629","C4","#FB8072"
"LOC101851328","C4","#FB8072"
"LOC101850602","C4","#FB8072"
"LOC101846507","C4","#FB8072"
"LOC101850879","C4","#FB8072"
"LOC106012217","C4","#FB8072"
"LOC101859761","C4","#FB8072"
"LOC101853359","C4","#FB8072"
"LOC118478789","C4","#FB8072"
"LOC101856119","C4","#FB8072"
"LOC101845338","C4","#FB8072"
"LOC101846495","C4","#FB8072"
"LOC101859824","C4","#FB8072"
"LOC101860634","C4","#FB8072"
"LOC101855520","C4","#FB8072"
"LOC118478604","C4","#FB8072"
"LOC101854260","C4","#FB8072"
"LOC101852984","C4","#FB8072"
"LOC101854582","C4","#FB8072"
"LOC106013129","C4","#FB8072"
"LOC101851314","C4","#FB8072"
"LOC118478853","C4","#FB8072"
"LOC101864140","C4","#FB8072"
"LOC118478404","C4","#FB8072"
"LOC101849090","C4","#FB8072"
"LOC101853676","C4","#FB8072"
"LOC101859940","C4","#FB8072"
"LOC101846528","C4","#FB8072"
"LOC101859562","C4","#FB8072"
"LOC106014219","C4","#FB8072"
"LOC101860621","C4","#FB8072"
"LOC101854220","C4","#FB8072"
"LOC101860708","C4","#FB8072"
"LOC101849230","C4","#FB8072"
"LOC106013786","C4","#FB8072"
"LOC101862717","C4","#FB8072"
"LOC101854698","C4","#FB8072"
"LOC118478302","C4","#FB8072"
"LOC106012364","C4","#FB8072"
"LOC106011431","C4","#FB8072"
"LOC101864131","C4","#FB8072"
"LOC101853250","C4","#FB8072"
"LOC101858124","C4","#FB8072"
"LOC101848051","C4","#FB8072"
"LOC101852317","C4","#FB8072"
"LOC101860596","C4","#FB8072"
"LOC101855618","C4","#FB8072"
"LOC101856395","C4","#FB8072"
"LOC106013232","C4","#FB8072"
"LOC106011225","C4","#FB8072"
"LOC101855042","C4","#FB8072"
"LOC101855616","C4","#FB8072"
"LOC101845926","C4","#FB8072"
"LOC101855351","C4","#FB8072"
"LOC101863153","C4","#FB8072"
"LOC106012286","C4","#FB8072"
"LOC101852629","C4","#FB8072"
"LOC101857365","C4","#FB8072"
"LOC118477155","C4","#FB8072"
"LOC101847357","C4","#FB8072"
"LOC106011882","C4","#FB8072"
"LOC106011603","C4","#FB8072"
"LOC101855518","C4","#FB8072"
"LOC101858491","C4","#FB8072"
"LOC106012142","C4","#FB8072"
"LOC101852586","C4","#FB8072"
"LOC101856677","C4","#FB8072"
"LOC101862488","C4","#FB8072"
"LOC101858261","C4","#FB8072"
"LOC101845976","C4","#FB8072"
"LOC101851984","C4","#FB8072"
"LOC101851919","C4","#FB8072"
"LOC101863156","C4","#FB8072"
"LOC101859709","C4","#FB8072"
"LOC101852001","C4","#FB8072"
"LOC101856089","C4","#FB8072"
"LOC118477522","C4","#FB8072"
"LOC101852233","C4","#FB8072"
"LOC101848762","C4","#FB8072"
"LOC101852632","C4","#FB8072"
"LOC101863760","C4","#FB8072"
"LOC118477893","C4","#FB8072"
"LOC101845625","C4","#FB8072"
"LOC101854611","C4","#FB8072"
"LOC106011041","C4","#FB8072"
"LOC101845553","C4","#FB8072"
"LOC101856860","C4","#FB8072"
"LOC101857087","C4","#FB8072"
"LOC106013319","C4","#FB8072"
