contrast	gene
Hyp_T2h.Control	LOC101856318
Hyp_T2h.Control	LOC101847555
Hyp_T2h.Control	LOC101861183
Hyp_T2h.Control	LOC101848493
Hyp_T2h.Control	LOC101849430
Hyp_T2h.Control	LOC101864200
Hyp_T2h.Control	LOC101849667
Hyp_T2h.Control	LOC101849901
Hyp_T2h.Control	LOC101850626
Hyp_T2h.Control	LOC101857465
Hyp_T2h.Control	LOC101857927
Hyp_T2h.Control	LOC101858162
Hyp_T2h.Control	LOC101852001
Hyp_T2h.Control	LOC106014197
Hyp_T2h.Control	LOC101858839
Hyp_T2h.Control	LOC101859077
Hyp_T2h.Control	LOC118479181
Hyp_T2h.Control	LOC101854474
Hyp_T2h.Control	LOC101854694
Hyp_T2h.Control	LOC101854927
Hyp_T2h.Control	LOC101855166
Hyp_T2h.Control	LOC101860951
Hyp_T2h.Control	LOC101856634
Hyp_T2h.Control	LOC118479183
Hyp_T2h.Control	LOC100533260
Hyp_T2h.Control	LOC101857928
Hyp_T2h.Control	LOC101858605
Hyp_T2h.Control	LOC106014201
Hyp_T2h.Control	LOC100533398
Hyp_T2h.Control	LOC101848413
Hyp_T2h.Control	LOC101849275
Hyp_T2h.Control	LOC101849523
Hyp_T2h.Control	LOC101850535
Hyp_T2h.Control	LOC101851560
Hyp_T2h.Control	LOC101853440
Hyp_T2h.Control	LOC101854067
Hyp_T2h.Control	LOC100885792
Hyp_T2h.Control	LOC101853140
Hyp_T2h.Control	LOC101862706
Hyp_T2h.Control	LOC101846408
Hyp_T2h.Control	LOC101847472
Hyp_T2h.Control	LOC118479192
Hyp_T2h.Control	LOC118479194
Hyp_T2h.Control	LOC118479195
Hyp_T2h.Control	LOC106014219
Hyp_T2h.Control	LOC101849903
Hyp_T2h.Control	LOC101850138
Hyp_T2h.Control	LOC101850394
Hyp_T2h.Control	LOC101856636
Hyp_T2h.Control	LOC101859308
Hyp_T2h.Control	LOC101860001
Hyp_T2h.Control	LOC101860234
Hyp_T2h.Control	LOC101860873
Hyp_T2h.Control	LOC101861266
Hyp_T2h.Control	LOC101861642
Hyp_T2h.Control	LOC101862247
Hyp_T2h.Control	LOC101862854
Hyp_T2h.Control	LOC101848723
Hyp_T2h.Control	LOC101848943
Hyp_T2h.Control	LOC101849183
